Label,CPUCreditUsage,NetworkPacketsOut,MetadataNoToken,CPUUtilization,NetworkPacketsOut_1,CPUCreditBalance,NetworkPacketsIn,NetworkOut,NetworkPacketsIn_1,MetadataNoToken_1,CPUCreditBalance_1,CPUUtilization_1,NetworkIn,NetworkIn_1,NetworkOut_1,CPUCreditUsage_1
2022-10-31 6:55,0.0148,150.6,12,0.300602019,153.2,144,141.8,14696.4,142.4,12,144,0.3,16865.6,16893.2,14590,0.015723
2022-10-31 7:00,0.01486,150.4,12,0.300037047,151.6,144,141,14644.2,140.8,12,144,0.300602019,16798.4,16790,14576.2,0.014598
2022-10-31 7:05,0.01513,152.8,12,0.333425952,154.2,144,143.4,14904.6,143.2,12,144,0.333446392,17129.2,17116,14831.8,0.016249
2022-10-31 7:10,0.015035,158.8,12.6,0.300583495,151.8,144,148.4,14649,141.8,12,144,0.298379179,17746.6,16859.6,15349.4,0.016524
2022-10-31 7:15,0.016016,150.6,12,0.301166991,151,144,141.2,14601.2,140.8,12,144,0.301243002,16816.4,16790,14580.4,0.015814
2022-10-31 7:20,0.015217,150.4,12,0.333370381,151,144,141.2,14612.2,140.8,12,144,0.29900068,16816.4,16790,14570,0.014521
2022-10-31 7:25,0.014889,152.4,12,0.3,152.2,144,142.2,14714.4,141.8,12,144,0.297321538,16993.8,16962.6,14740.6,0.015657
2022-10-31 7:30,0.015037,153.4,12,0.300037047,154,144,143.6,14910,143.4,12,144,0.300055571,17142.4,17134,14863,0.014378
2022-10-31 7:35,0.014593,151.4,12,0.298944151,150.8,144,141.4,14590.8,140.8,12,144,0.300037047,16827.6,16790,14628.2,0.015718
2022-10-31 7:40,0.016191,151.4,12,0.300602019,151.2,144,141.4,14622.6,140.8,12,144,0.300037047,16829.6,16790,14622.8,0.015673
2022-10-31 7:45,0.014831,151.4,12,0.333370381,151.2,144,141.6,14626,141.4,12,144,0.3,16857.2,16844,14647.4,0.015657
2022-10-31 7:50,0.015148,151.4,12,0.300620543,151,144,141.6,14607.4,140.6,12,144,0.299490599,16838.8,16772,14612.4,0.015234
2022-10-31 7:55,0.014868,154.4,12,0.332277484,152.4,144,144.2,14689.8,141,12,144,0.334500324,17167.2,16808,14897.2,0.015819
2022-10-31 8:00,0.015019,160.6,12,0.333407428,153.8,144,149.4,14874.2,143.6,12,144,0.301166991,17869.8,17138.4,15499,0.015193
2022-10-31 8:05,0.015803,150.2,12.6,0.301166991,152.8,144,141.8,14771.4,142,12,144,0.298907104,16860.8,16940,14575.4,0.017396
2022-10-31 8:10,0.01512,151,12,0.298907104,151.6,144,141.8,14644.2,140.8,12,144,0.300583495,16858.8,16790,14601.2,0.01537
2022-10-31 8:15,0.014878,150.6,12,0.334500324,151.6,144,141.2,14613.2,141.6,12,144,0.301713439,16807.6,16834.8,14577,0.015847
2022-10-31 8:20,0.015099,154.4,12,0.299490599,159,144,144.6,15446,148.8,12,144,0.298360656,17212,17834.6,14910.2,0.015313
2022-10-31 8:25,0.014603,160.4,12,0.334463277,154.4,144,151,14956.2,145,12.6,144,0.300037047,18069.4,17331.8,15550.4,0.015795
2022-10-31 8:30,0.016126,151.2,12.6,0.300037047,152.2,144,141.2,14665,141.6,12,144,0.30178945,16823.6,16841.6,14616.4,0.016411
2022-10-31 8:35,0.014829,152.4,12,0.333370381,158.6,144,141.6,15328,148,12.6,144,0.298379179,16852.4,17686.2,14694.6,0.015693
2022-10-31 8:40,0.014993,154.2,12,0.3,151.4,144,143.6,14637.8,141,12,144,0.335141307,17131.6,16808,14896.4,0.015257
2022-10-31 8:45,0.014669,151,12,0.299472076,151.2,144,142,14611.6,141,12,144,0.300037047,16870,16803.2,14597.2,0.015788
2022-10-31 8:50,0.016418,152.2,12,0.332277484,153.6,144,142.4,14879.6,143.2,12,144,0.266157266,16961.6,17111.2,14741.6,0.015158
2022-10-31 8:55,0.014121,152,12,0.300639066,145,144,141.6,13970.6,135,12,144,0.333370381,16857.2,16050.8,14667.6,0.016055
2022-10-31 9:00,0.015192,144,12,0.333407428,159,144,134.8,15340.6,148,12.6,144,0.30178945,16018.4,17668.8,13899.4,0.015238
2022-10-31 9:05,0.01531,159.2,12,0.300074095,152,144,149,14653.2,143,12,144,0.297814208,17716.4,16940.4,15381.2,0.016411
2022-10-31 9:10,0.015427,152.8,12,0.298379179,159.2,144,144.2,15376.4,148.2,12,144,0.333464915,17182,17654,14831.8,0.015148
2022-10-31 9:15,0.014859,144.8,12,0.33286098,146.2,144,135,14156.4,136.6,12,144,0.30067803,16037.2,16309.6,13952,0.015624
2022-10-31 9:20,0.016383,158.6,12,0.334463277,151.2,144,148.2,14611.6,140.8,12,144,0.266779725,17656.8,16785.2,15334.2,0.015436
2022-10-31 9:25,0.014844,145.4,12,0.300037047,152.8,144,135,14756.6,141.8,12,144,0.333407428,16143,16962.6,14038.8,0.017121
2022-10-31 9:30,0.015014,152.2,12,0.333370381,145.2,144,141.2,14008,135.4,12,144,0.267833657,16826,16100.6,14684.2,0.01537
2022-10-31 9:35,0.014359,151,12,0.299472076,157.8,144,140.8,15267,146.6,12,144,0.299490599,16785.2,17515.4,14596.4,0.016203
2022-10-31 9:40,0.014977,154.8,12,0.332314532,155.4,144,143.6,14943,144.4,12,144,0.336195239,17147.2,17185.2,14951.6,0.015583
2022-10-31 9:45,0.016081,151.6,12,0.300620543,151.8,144,141.6,14658.6,141.6,12,144,0.298414434,16845.6,16847.6,14632.4,0.016761
2022-10-31 9:50,0.014938,157.5,12,0.299509123,144.6,144,147,13940.2,134.2,12,144,0.3135131,17111.4,15988.4,14826.3,0.015336
2022-10-31 9:55,0.08534,197.3,12.6,0.73342135,180.3,144,170.2,1888.3,155.3,12,144,0.5443123,19543.2,18822.3,16312.5,0.0831451
