engineio.server, 134, 2022-09-15 16:32:22,134, Server initialized for eventlet., INFO
werkzeug, 142, 2022-09-15 16:32:22,142,  * Restarting with stat, INFO
engineio.server, 926, 2022-09-15 16:32:22,926, Server initialized for eventlet., INFO
werkzeug, 931, 2022-09-15 16:32:22,931,  * Debugger is active!, WARNING
werkzeug, 937, 2022-09-15 16:32:22,937,  * Debugger PIN: 141-603-018, INFO
engineio.server, 501, 2022-09-15 16:32:34,501, Server initialized for eventlet., INFO
werkzeug, 508, 2022-09-15 16:32:34,508,  * Restarting with stat, INFO
engineio.server, 295, 2022-09-15 16:32:35,295, Server initialized for eventlet., INFO
werkzeug, 299, 2022-09-15 16:32:35,299,  * Debugger is active!, WARNING
werkzeug, 305, 2022-09-15 16:32:35,305,  * Debugger PIN: 141-603-018, INFO
engineio.server, 722, 2022-09-15 16:33:52,722, Server initialized for eventlet., INFO
werkzeug, 730, 2022-09-15 16:33:52,730,  * Restarting with stat, INFO
engineio.server, 654, 2022-09-15 16:33:53,654, Server initialized for eventlet., INFO
werkzeug, 658, 2022-09-15 16:33:53,658,  * Debugger is active!, WARNING
werkzeug, 663, 2022-09-15 16:33:53,663,  * Debugger PIN: 141-603-018, INFO
engineio.server, 132, 2022-09-15 16:35:00,132, Server initialized for eventlet., INFO
werkzeug, 141, 2022-09-15 16:35:00,141,  * Restarting with stat, INFO
engineio.server, 188, 2022-09-15 16:35:01,188, Server initialized for eventlet., INFO
werkzeug, 193, 2022-09-15 16:35:01,193,  * Debugger is active!, WARNING
werkzeug, 198, 2022-09-15 16:35:01,198,  * Debugger PIN: 141-603-018, INFO
engineio.server, 885, 2022-09-15 16:37:08,885, Server initialized for eventlet., INFO
werkzeug, 893, 2022-09-15 16:37:08,893,  * Restarting with stat, INFO
engineio.server, 684, 2022-09-15 16:37:09,684, Server initialized for eventlet., INFO
werkzeug, 687, 2022-09-15 16:37:09,687,  * Debugger is active!, WARNING
werkzeug, 692, 2022-09-15 16:37:09,692,  * Debugger PIN: 141-603-018, INFO
werkzeug, 962, 2022-09-15 16:40:13,962,  * Detected change in 'C:\\dev\\chat_test2\\src\\app\\__init__.py', reloading, INFO
werkzeug, 452, 2022-09-15 16:40:14,452,  * Restarting with stat, INFO
engineio.server, 853, 2022-09-15 16:40:16,853, Server initialized for eventlet., INFO
werkzeug, 857, 2022-09-15 16:40:16,857,  * Debugger is active!, WARNING
werkzeug, 862, 2022-09-15 16:40:16,862,  * Debugger PIN: 141-603-018, INFO
engineio.server, 708, 2022-09-15 16:40:21,708, Server initialized for eventlet., INFO
werkzeug, 715, 2022-09-15 16:40:21,715,  * Restarting with stat, INFO
engineio.server, 492, 2022-09-15 16:40:22,492, Server initialized for eventlet., INFO
werkzeug, 497, 2022-09-15 16:40:22,497,  * Debugger is active!, WARNING
werkzeug, 502, 2022-09-15 16:40:22,502,  * Debugger PIN: 141-603-018, INFO
werkzeug, 175, 2022-09-15 16:41:40,175,  * Detected change in 'C:\\dev\\chat_test2\\src\\app\\__init__.py', reloading, INFO
werkzeug, 628, 2022-09-15 16:41:40,628,  * Restarting with stat, INFO
engineio.server, 441, 2022-09-15 16:41:41,441, Server initialized for eventlet., INFO
werkzeug, 446, 2022-09-15 16:41:41,446,  * Debugger is active!, WARNING
werkzeug, 451, 2022-09-15 16:41:41,451,  * Debugger PIN: 141-603-018, INFO
engineio.server, 926, 2022-09-15 16:41:47,926, Server initialized for eventlet., INFO
werkzeug, 932, 2022-09-15 16:41:47,932,  * Restarting with stat, INFO
engineio.server, 883, 2022-09-15 16:41:48,883, Server initialized for eventlet., INFO
werkzeug, 888, 2022-09-15 16:41:48,888,  * Debugger is active!, WARNING
werkzeug, 894, 2022-09-15 16:41:48,894,  * Debugger PIN: 141-603-018, INFO
werkzeug, 901, 2022-09-15 16:46:21,901,  * Detected change in 'C:\\dev\\chat_test2\\src\\app\\__init__.py', reloading, INFO
werkzeug, 236, 2022-09-15 16:46:22,236,  * Restarting with stat, INFO
engineio.server, 422, 2022-09-15 16:48:17,422, Server initialized for eventlet., INFO
werkzeug, 430, 2022-09-15 16:48:17,430,  * Restarting with stat, INFO
engineio.server, 236, 2022-09-15 16:48:18,236, Server initialized for eventlet., INFO
werkzeug, 240, 2022-09-15 16:48:18,240,  * Debugger is active!, WARNING
werkzeug, 246, 2022-09-15 16:48:18,246,  * Debugger PIN: 141-603-018, INFO
engineio.server, 844, 2022-09-15 16:53:53,844, Server initialized for eventlet., INFO
werkzeug, 848, 2022-09-15 16:53:53,848,  * Restarting with stat, INFO
